university_key,scale_type,higher_is_better,highest_value,passing_value,is_active
UPLB,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
UPOU,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
CALABARZON_STATE_U,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
SOUTHERN_LUZON_STATE_U,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
BATANGAS_EASTERN_COLLEGES,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
GOLDEN_GATE_COLLEGES,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
KOLEHIYO_NG_LUNGSOD_NG_LIPA,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
FIRST_ASIA_INSTITUTE,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
DIVINE_WORD_COLLEGE_LIPA,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
MARY_THE_QUEEN_COLLEGE,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
COLEGIO_DE_SAN_JUAN_DE_LETRAN_BATANGAS,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
UNIVERSITY_OF_BATANGAS,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
BATSTATE_U,NUMERIC_1_TO_5,FALSE,1.00,3.00,TRUE
